Price,Close,High,Low,Open,Volume,MA120,MA360,RSI,MA_Signal,Position,MA120_prev,MA360_prev,Filtered_Signal,Equity
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2021-03-06,48912.3828125,49147.21875,47257.52734375,48899.23046875,34363564661,31362.362369791666,16956.798783365884,36.107801060300176,0,0,31084.474853515625,16842.907248263888,0,100000.0
2021-03-07,51206.69140625,51384.3671875,48918.6796875,48918.6796875,43137459378,31665.470182291665,17085.231848144533,38.14947663836393,0,0,31362.362369791666,16956.798783365884,0,100000.0
2021-03-08,52246.5234375,52314.0703125,49506.0546875,51174.1171875,48597428048,31971.861482747398,17214.90633816189,45.98668058050512,0,0,31665.470182291665,17085.231848144533,0,100000.0
2021-03-09,54824.1171875,54824.1171875,51981.83203125,52272.96875,50912227385,32300.959830729167,17352.750090874564,63.87319894305355,0,0,31971.861482747398,17214.90633816189,0,100000.0
2021-03-10,56008.55078125,57258.25390625,53290.890625,54824.01171875,57295577614,32640.273567708333,17493.350745985244,64.37329243977487,0,0,32300.959830729167,17352.750090874564,0,100000.0
2021-03-11,57805.12109375,58091.0625,54484.59375,55963.1796875,56772343595,32991.138411458334,17639.991415744356,75.3678079359367,0,0,32640.273567708333,17493.350745985244,0,100000.0
2021-03-12,57332.08984375,57996.62109375,55376.6484375,57821.21875,55689944702,33333.26962890625,17784.731583658853,76.38470089470557,0,0,32991.138411458334,17639.991415744356,0,100000.0
2021-03-13,61243.0859375,61683.86328125,56217.97265625,57343.37109375,60669829814,33707.64694010417,17940.300048828125,80.61059057209448,0,0,33333.26962890625,17784.731583658853,0,100000.0
2021-03-14,59302.31640625,61597.91796875,59302.31640625,61221.1328125,43901225564,34067.93175455729,18087.83094753689,77.7947143098485,0,0,33707.64694010417,17940.300048828125,0,100000.0
2021-03-15,55907.19921875,60540.9921875,55393.1640625,59267.4296875,66419369890,34400.86184895833,18225.909894476998,62.86990735304037,0,0,34067.93175455729,18087.83094753689,0,100000.0
2021-03-16,56804.90234375,56833.1796875,53555.02734375,55840.78515625,59749798599,34734.93510742187,18366.520549858942,67.53371997407945,0,0,34400.86184895833,18225.909894476998,0,100000.0
2021-03-17,58870.89453125,58969.81640625,54528.62890625,56825.828125,60258313191,35078.48084309896,18513.85565999349,67.40721373632803,0,0,34734.93510742187,18366.520549858942,0,100000.0
2021-03-18,57858.921875,60116.25,54253.578125,58893.078125,55746041000,35412.271809895836,18656.751790364582,70.2394543278662,0,0,35078.48084309896,18513.85565999349,0,100000.0
2021-03-19,58346.65234375,59498.375,56643.703125,57850.44140625,49063873786,35750.0181640625,18800.11803656684,70.39616909273087,0,0,35412.271809895836,18656.751790364582,0,100000.0
2021-03-20,58313.64453125,60031.28515625,58213.296875,58332.26171875,50361731222,36080.78758138021,18943.541874186198,70.3410746496022,0,0,35750.0181640625,18800.11803656684,0,100000.0
2021-03-21,57523.421875,58767.8984375,56005.6171875,58309.9140625,51943414539,36404.79749348958,19084.672378200954,64.61869581890599,0,0,36080.78758138021,18943.541874186198,0,100000.0
2021-03-22,54529.14453125,58471.48046875,54288.15625,57517.890625,56521454974,36706.12368164062,19218.17056206597,54.84439194715622,0,0,36404.79749348958,19084.672378200954,0,100000.0
2021-03-23,54738.9453125,55985.44140625,53470.6953125,54511.66015625,56435023914,37009.24721679687,19352.88376057943,49.799043549043546,0,0,36706.12368164062,19218.17056206597,0,100000.0
2021-03-24,52774.265625,57262.3828125,52514.33203125,54710.48828125,70567223787,37289.803889973955,19483.028823513454,42.63994144501874,0,0,37009.24721679687,19352.88376057943,0,100000.0
2021-03-25,51704.16015625,53392.38671875,50856.5703125,52726.74609375,67999812841,37564.57088216146,19608.790818956164,35.64169386617401,0,0,37289.803889973955,19483.028823513454,0,100000.0
2021-03-26,55137.3125,55137.3125,51579.85546875,51683.01171875,56652197978,37881.126627604164,19744.064896647134,45.466371559311014,0,0,37564.57088216146,19608.790818956164,0,100000.0
2021-03-27,55973.51171875,56568.21484375,54242.91015625,55137.56640625,47266542233,38205.0025390625,19881.19471706814,37.53101738119485,0,0,37881.126627604164,19744.064896647134,0,100000.0
2021-03-28,55950.74609375,56610.3125,55071.11328125,55974.94140625,47686580918,38523.61363932292,20017.742277018227,41.27773379380285,0,0,38205.0025390625,19881.19471706814,0,100000.0
2021-03-29,57750.19921875,58342.09765625,55139.33984375,55947.8984375,57625587027,38853.38626302083,20159.455643717447,55.23072447520691,0,0,38523.61363932292,20017.742277018227,0,100000.0
2021-03-30,58917.69140625,59447.22265625,57251.55078125,57750.1328125,54414116432,39180.81839192708,20304.039432779948,55.905983663803326,0,0,38853.38626302083,20159.455643717447,0,100000.0
2021-03-31,58918.83203125,59930.02734375,57726.41796875,58930.27734375,65520826225,39515.117008463545,20448.838606770834,50.15149001390468,0,0,39180.81839192708,20304.039432779948,0,100000.0
2021-04-01,59095.80859375,59586.0703125,58505.27734375,58926.5625,61669163792,39847.572981770834,20592.79423828125,54.12653098139977,0,0,39515.117008463545,20448.838606770834,0,100000.0
2021-04-02,59384.3125,60267.1875,58869.28125,59098.87890625,58727860620,40180.397265625,20737.81617702908,53.50850615386281,0,0,39847.572981770834,20592.79423828125,0,100000.0
2021-04-03,57603.890625,60110.26953125,57603.890625,59397.41015625,59641344484,40504.598307291664,20877.45448811849,47.85380801222015,0,0,40180.397265625,20737.81617702908,0,100000.0
2021-04-04,58758.5546875,58913.74609375,57168.67578125,57604.83984375,50749662970,40834.63434244792,21020.389114040798,53.65431848787395,0,0,40504.598307291664,20877.45448811849,0,100000.0
2021-04-05,59057.87890625,59891.296875,57694.82421875,58760.875,60706272115,41165.573990885416,21165.367963324654,65.94099435760333,0,0,40834.63434244792,21020.389114040798,0,100000.0
2021-04-06,58192.359375,59479.578125,57646.80859375,59171.93359375,66058027988,41490.58006184896,21307.96039767795,61.61952042209501,0,0,41165.573990885416,21165.367963324654,0,100000.0
2021-04-07,56048.9375,58731.14453125,55604.0234375,58186.5078125,75645303584,41804.978336588545,21444.287746853297,60.887164222523516,0,0,41490.58006184896,21307.96039767795,0,100000.0
2021-04-08,58323.953125,58338.73828125,55879.0859375,56099.9140625,53053855641,42136.3953125,21587.284734429253,70.37605354075542,0,0,41804.978336588545,21444.287746853297,0,100000.0
2021-04-09,58245.00390625,58937.046875,57807.86328125,58326.5625,46655208546,42469.56207682292,21730.069668240016,62.05480269870819,0,0,42136.3953125,21587.284734429253,0,100000.0
2021-04-10,59793.234375,61276.6640625,58038.70703125,58253.77734375,58238470525,42817.34816080729,21877.71168077257,64.04115814652215,0,0,42469.56207682292,21730.069668240016,0,100000.0
2021-04-11,60204.96484375,60790.5546875,59289.796875,59846.23046875,46280252580,43162.359065755205,22025.178793674044,65.20358180685136,0,0,42817.34816080729,21877.71168077257,0,100000.0
2021-04-12,59893.453125,61253.03515625,59589.875,60175.9453125,51828688519,43501.95131835937,22171.837872992623,58.57102554000743,0,0,43162.359065755205,22025.178793674044,0,100000.0
2021-04-13,63503.45703125,63742.28515625,59869.95703125,59890.01953125,69983454362,43870.75808919271,22328.07618408203,65.34171487595745,0,0,43501.95131835937,22171.837872992623,0,100000.0
2021-04-14,63109.6953125,64863.09765625,61554.796875,63523.75390625,77451779687,44234.86324869792,22483.410268825955,63.6616693030016,0,0,43870.75808919271,22328.07618408203,0,100000.0
2021-04-15,63314.01171875,63821.671875,62208.96484375,63075.1953125,60954381579,44584.89169921875,22640.16597222222,63.726326643508536,0,0,44234.86324869792,22483.410268825955,0,100000.0
2021-04-16,61572.7890625,63594.72265625,60222.53125,63258.50390625,84293007468,44907.955257161455,22792.089488389756,56.50631574253176,0,0,44584.89169921875,22640.16597222222,0,100000.0
2021-04-17,60683.8203125,62572.17578125,60361.3515625,61529.921875,66138759198,45220.83741861979,22940.88563503689,59.6691127778241,0,0,44907.955257161455,22792.089488389756,0,100000.0
2021-04-18,56216.18359375,61057.45703125,52829.53515625,60701.88671875,97468872758,45490.39034830729,23076.403576660156,43.39287371168818,0,0,45220.83741861979,22940.88563503689,0,100000.0
2021-04-19,55724.265625,57520.0546875,54368.59375,56191.5859375,65344865159,45759.11510416667,23210.21847873264,41.42245326048392,0,0,45490.39034830729,23076.403576660156,0,100000.0
2021-04-20,56473.03125,57062.1484375,53448.046875,55681.79296875,67849323955,46039.698014322916,23346.060409884984,45.54934560977326,0,0,45759.11510416667,23210.21847873264,0,100000.0
2021-04-21,53906.08984375,56757.97265625,53695.46875,56471.12890625,54926612466,46290.72351888021,23474.466583930123,44.572038541297886,0,0,46039.698014322916,23346.060409884984,0,100000.0
